Year,Composite Average Weekly Earnings series,Consumer Price Index (CPI),CPI inflation,,
1209,0.03,0.08,,,
1210,0.03,0.08,2.58,,
1211,0.03,0.09,12.22,,
1212,0.03,0.08,-12.32,,
1213,0.04,0.08,-3.37,,
1214,0.04,0.08,-3.37,,
1215,0.04,0.08,6.34,,
1216,0.03,0.09,6.34,,
1217,0.03,0.10,15.78,,
1218,0.03,0.12,16.62,,
1219,0.04,0.11,-3.13,,
1220,0.03,0.10,-12.67,,
1221,0.03,0.11,11.96,,
1222,0.03,0.09,-15.56,,
1223,0.04,0.08,-15.56,,
1224,0.04,0.09,10.33,,
1225,0.03,0.13,49.66,,
1226,0.03,0.12,-9.56,,
1227,0.03,0.12,0.01,,
1228,0.03,0.12,-1.81,,
1229,0.03,0.12,-1.81,,
1230,0.03,0.11,-1.81,,
1231,0.03,0.11,-1.81,,
1232,0.03,0.11,-1.81,,
1233,0.03,0.10,-5.97,,
1234,0.03,0.10,0.85,,
1235,0.03,0.10,0.85,,
1236,0.03,0.10,-2.85,,
1237,0.03,0.11,10.23,,
1238,0.03,0.11,-2.84,,
1239,0.03,0.11,-2.84,,
1240,0.03,0.10,-2.84,,
1241,0.03,0.10,-2.84,,
1242,0.03,0.10,-2.84,,
1243,0.03,0.09,-2.84,,
1244,0.03,0.09,-2.84,,
1245,0.03,0.09,-2.84,,
1246,0.03,0.10,15.15,,
1247,0.03,0.14,32.36,,
1248,0.03,0.13,-1.27,,
1249,0.03,0.10,-26.06,,
1250,0.03,0.11,9.46,,
1251,0.03,0.10,-6.64,,
1252,0.03,0.10,2.82,,
1253,0.03,0.12,14.95,,
1254,0.03,0.09,-23.60,,
1255,0.03,0.09,2.77,,
1256,0.04,0.12,27.33,,
1257,0.03,0.14,15.91,,
1258,0.03,0.14,-1.67,,
1259,0.04,0.13,-4.52,,
1260,0.04,0.12,-10.82,,
1261,0.03,0.12,6.00,,
1262,0.04,0.12,1.35,,
1263,0.04,0.11,-10.09,,
1264,0.03,0.11,1.78,,
1265,0.03,0.12,3.65,,
1266,0.03,0.12,0.62,,
1267,0.03,0.13,7.35,,
1268,0.03,0.11,-14.57,,
1269,0.03,0.13,19.28,,
1270,0.03,0.13,-2.09,,
1271,0.03,0.16,26.09,,
1272,0.03,0.17,5.06,,
1273,0.03,0.14,-17.02,,
1274,0.03,0.16,13.59,,
1275,0.03,0.16,-2.20,,
1276,0.03,0.14,-10.82,,
1277,0.03,0.16,13.26,,
1278,0.03,0.14,-13.48,,
1279,0.03,0.13,-7.65,,
1280,0.03,0.14,13.20,,
1281,0.03,0.13,-6.62,,
1282,0.03,0.15,15.54,,
1283,0.03,0.15,-3.70,,
1284,0.03,0.15,0.70,,
1285,0.03,0.12,-16.05,,
