Period_start,Year_0,Year_1,Year_2,Year_3,Year_4,Year_5
1270,100.0,100.0,105.56,133.343392,105.567963,100.015089
1275,100.0,100.0,115.38,99.999846,107.689834,92.300957
1280,100.0,100.0,71.43,85.716,114.285143,85.713857
1285,100.0,100.0,116.67,133.342143,116.674375,116.674375
1550,100.0,100.0,105.26,99.997,99.997,105.256842
1555,100.0,100.0,126.32,121.052456,121.052456,115.786674
1560,100.0,100.0,104.55,104.55,122.731245,109.095804
1565,100.0,100.0,100.0,111.11,99.999,111.108889
1570,100.0,100.0,109.09,118.177197,118.177197,136.35285
1575,100.0,100.0,100.0,113.33,106.666196,113.332833
1580,100.0,100.0,100.0,100.0,105.56,100.007544
1585,100.0,100.0,125.0,112.5,124.99875,112.498875
1590,100.0,100.0,111.11,116.6655,94.440722,127.768853
1595,100.0,100.0,140.43,120.517026,110.477958,110.477958
1600,100.0,100.0,94.62,89.236122,86.532268,94.648994
1605,100.0,100.0,103.03,100.000918,115.151057,115.151057
1610,100.0,100.0,105.0,109.998,119.996818,125.000686
1615,100.0,100.0,96.15,96.15,96.15,99.996
1620,100.0,100.0,96.43,110.711283,107.135309,107.135309
1625,100.0,100.0,109.09,100.002803,104.552931,114.558646
1630,100.0,100.0,108.33,99.999423,104.169399,108.336175
1635,100.0,100.0,107.41,122.221839,125.925161,144.448752
1640,100.0,100.0,95.12,95.12,102.434728,109.748568
1645,100.0,100.0,92.86,121.433022,111.426941,144.442744
1650,100.0,100.0,96.72,93.441192,86.88162,81.964121
1655,100.0,100.0,110.0,104.995,119.998786,125.998725
1660,100.0,100.0,115.0,107.502,107.502,102.503157
1665,100.0,100.0,95.35,104.65616,104.65616,102.332793
1670,100.0,100.0,102.0,92.004,103.04448,117.769536
1675,100.0,100.0,96.67,93.334885,103.331051,113.333497
1680,100.0,100.0,96.87,96.87,93.741099,99.99363
1685,100.0,100.0,100.0,103.23,99.998901,96.768936
1690,100.0,100.0,100.0,109.38,121.882134,137.507424
1695,100.0,100.0,120.0,116.664,136.66021,128.665587
1700,100.0,100.0,100.0,100.0,102.22,95.555256
1705,100.0,100.0,97.73,102.274445,127.270319,199.99258
1710,100.0,100.0,92.16,84.317184,84.317184,84.317184
1715,100.0,100.0,95.35,97.67654,95.351838,102.331593
1720,100.0,100.0,104.76,107.138052,107.138052,109.516517
1725,100.0,100.0,104.0,104.0,116.0016,116.0016
1730,100.0,100.0,88.89,84.4455,88.887333,95.553883
1735,100.0,100.0,100.0,104.44,108.889144,113.331821
1740,100.0,100.0,85.48,79.684456,76.799879,73.912203
1745,100.0,100.0,105.17,110.344364,110.344364,110.344364
1750,100.0,100.0,104.88,107.323704,109.759952,109.759952
1755,100.0,100.0,109.09,134.093428,121.367962,112.326049
1760,100.0,100.0,104.35,115.22327,110.879353,117.399059
1765,100.0,100.0,105.41,113.516029,113.516029,113.516029
1770,100.0,100.0,110.34,124.1325,119.539598,124.141872
1775,100.0,100.0,103.7,101.84377,109.247812,112.951313
1780,100.0,100.0,106.56,101.317248,117.102475,117.102475
1785,100.0,100.0,103.7,109.25832,112.962177,116.667336
1790,100.0,100.0,100.0,103.07,119.169534,122.303693
1795,100.0,100.0,104.0,96.0024,93.333533,115.677581
1800,100.0,100.0,110.0,91.003,84.987702,88.990622
1805,100.0,100.0,101.44,103.610816,115.1427,130.35305
1810,100.0,100.0,101.09,120.650915,127.17813,119.026011
1815,100.0,100.0,89.08,98.8788,104.692873,102.368692
1820,100.0,100.0,84.62,67.696,74.140659,79.434302
1825,100.0,100.0,91.53,86.440932,81.358205,81.358205
1830,100.0,100.0,106.25,100.0025,96.872422,90.624151
1835,100.0,100.0,114.29,114.29,114.29,123.810357
1840,100.0,100.0,103.7,96.29582,86.415869,83.944375
1845,100.0,100.0,108.33,116.660577,99.989781,88.880916
1850,100.0,100.0,104.76,109.52658,123.808846,140.473517
1855,100.0,100.0,103.7,107.40209,103.696718,99.994745
1860,100.0,100.0,100.0,100.0,96.55,99.996835
1865,100.0,100.0,106.67,113.336875,110.004771,106.671626
1870,100.0,100.0,100.0,105.88,111.766928,105.887988
1875,100.0,100.0,97.06,100.000918,94.120864,88.23831
1880,100.0,100.0,100.0,103.13,103.13,96.880322
1885,100.0,100.0,93.33,96.661881,96.661881,103.331551
1890,100.0,100.0,103.33,99.992441,99.992441,96.662693
1895,100.0,100.0,103.45,103.45,106.894885,103.44218
1900,100.0,100.0,100.0,100.0,103.0,105.9973
1905,100.0,100.0,102.82,105.637268,105.637268,108.457783
1910,100.0,100.0,102.53,106.32361,106.32361,111.384614
1915,100.0,100.0,118.52,148.517412,181.191243,203.477765
1920,100.0,100.0,91.48,78.16966,73.823427,73.823427
1925,100.0,100.0,102.56,99.996,99.996,99.996
1930,100.0,100.0,95.61,93.439653,91.262509,91.262509
1935,100.0,100.0,102.38,107.14067,109.519193,113.089519
1940,100.0,100.0,110.71,118.714333,122.370734,126.029619
1945,100.0,100.0,103.07,110.357049,118.733149,122.033931
1950,100.0,100.0,109.12,118.918976,122.605464,124.787842
1955,100.0,100.0,104.94,108.864756,112.130699,112.724991
1960,100.0,100.0,103.37,106.998287,109.170352,112.674721
1965,100.0,100.0,103.86,106.425342,112.119098,118.162317
1970,100.0,100.0,109.41,117.199992,127.935511,148.507541
1975,100.0,100.0,116.54,135.01159,146.163547,165.734846
1980,100.0,100.0,111.88,121.512868,127.138914,133.495859
1985,100.0,100.0,103.42,107.71193,113.011357,121.792339
1990,100.0,100.0,105.87,109.829538,111.553862,114.320398
1995,100.0,100.0,102.42,105.635988,109.248739,110.942094
2000,100.0,100.0,101.77,103.052302,104.443508,105.843051
2005,100.0,100.0,102.33,104.704056,108.483872,110.837972
2010,100.0,100.0,104.48,107.436784,110.197909,111.806799
