record_id,product,creditor_entity_id,debtor_entity_id,limit_gbp,exposure_gbp,currency,crr_reg_treatment
LIM0001,Committed Repo,E021,E016,499000,-20000,GBP,Retail Co_CORE
LIM0002,Bond Borrow,E003,E047,143176000,63907000,GBP,NRFB_CROSS
LIM0003,Overdraft,E056,E033,7292000,3690000,GBP,NRFB_CROSS
LIM0004,Payment Intraday,E046,E050,4034000,2496000,GBP,Trust Co_NRFB
LIM0005,Payment Intraday,E005,E043,47519000,-4773000,GBP,RFB_X
LIM0006,FX Forward,E041,E044,14602000,4135000,GBP,Trust Co_NRFB
LIM0007,Committed Repo,E011,E001,11513000,10589000,GBP,RFB_INTERNAL
LIM0008,Committed Repo,E002,E034,128992000,125387000,GBP,NRFB_CROSS
LIM0009,Payment Intraday,E054,E014,13810000,12565000,GBP,NRFB_X
LIM0010,Committed Repo,E006,E034,7780000,-1338000,GBP,RFB_X
LIM0011,FX Forward,E025,E052,28164000,15727000,GBP,NRFB_CROSS
LIM0012,Overdraft,E005,E040,29727000,12726000,GBP,RFB_X
LIM0013,FX Forward,E007,E050,53033000,17584000,GBP,RFB_X
LIM0014,Committed Repo,E029,E052,11260000,7139000,GBP,NRFB_CROSS
LIM0015,Payment Intraday,E054,E012,21833000,16041000,GBP,NRFB_X
LIM0016,FX Forward,E005,E059,12236000,-338000,GBP,RFB_X
LIM0017,Committed Repo,E006,E015,74310000,63648000,GBP,RFB_INTERNAL
LIM0018,Committed Repo,E014,E033,8500000,-504000,GBP,RFB_X
LIM0019,FX Forward,E048,E015,1027000,-192000,GBP,NRFB_X
LIM0020,Overdraft,E049,E023,828000,652000,GBP,NRFB_CROSS
LIM0021,Committed Loan,E020,E028,1092000,19000,GBP,RFB_X
LIM0022,Payment Intraday,E001,E026,91744000,30530000,GBP,RFB_X
LIM0023,Xccy Swap,E013,E043,21879000,-1599000,GBP,RFB_X
LIM0024,Payment Intraday,E039,E022,24469000,14905000,GBP,NRFB_X
LIM0025,Payment Intraday,E010,E021,28814000,24752000,GBP,Retail Co_CORE
LIM0026,FX Forward,E023,E057,42736000,37977000,GBP,NRFB_CROSS
LIM0027,Bond Borrow,E052,E050,14546000,12731000,GBP,NRFB_CROSS
LIM0028,Xccy Swap,E023,E021,66974000,-582000,GBP,NRFB_X
LIM0029,Payment Intraday,E018,E044,9876000,5927000,GBP,RFB_X
LIM0030,Committed Repo,E024,E026,30904000,18557000,GBP,NRFB_CROSS
LIM0031,Committed Repo,E040,E060,26849000,16146000,GBP,NRFB_CROSS
LIM0032,Overdraft,E045,E019,7494000,6291000,GBP,NRFB_X
LIM0033,Committed Loan,E009,E055,20040000,-3921000,GBP,RFB_X
LIM0034,Bond Borrow,E027,E016,10006000,6071000,GBP,NRFB_X
LIM0035,Payment Intraday,E043,E014,24368000,22411000,GBP,NRFB_X
LIM0036,Overdraft,E011,E054,14573000,6372000,GBP,RFB_X
LIM0037,Payment Intraday,E035,E041,1232000,179000,GBP,NRFB_CROSS
LIM0038,Payment Intraday,E042,E061,9918000,4925000,GBP,NRFB_CROSS
LIM0039,Committed Loan,E057,E029,9715000,5360000,GBP,NRFB_CROSS
LIM0040,Committed Repo,E041,E037,22943000,22718000,GBP,NRFB_CROSS
LIM0041,Committed Repo,E046,E027,2832000,552000,GBP,NRFB_CROSS
LIM0042,Payment Intraday,E052,E057,68767000,44163000,GBP,Deriv Co_NRFB
LIM0043,Committed Repo,E023,E060,31988000,1572000,GBP,NRFB_CROSS
LIM0044,Xccy Swap,E025,E054,12097000,9581000,GBP,NRFB_CROSS
LIM0045,Xccy Swap,E056,E032,8920000,3315000,GBP,NRFB_CROSS
LIM0046,Committed Repo,E006,E008,79789000,34135000,GBP,RFB_INTERNAL
LIM0047,FX Forward,E004,E050,80435000,54734000,GBP,NRFB_CROSS
LIM0048,Xccy Swap,E031,E035,367000,67000,GBP,Resi Co_NRFB
LIM0049,FX Forward,E010,E012,12521000,-1787000,GBP,RFB_INTERNAL
LIM0050,Committed Loan,E027,E036,5597000,1830000,GBP,NRFB_CROSS
LIM0051,Payment Intraday,E040,E029,6466000,2467000,GBP,NRFB_CROSS
LIM0052,FX Forward,E011,E043,17231000,653000,GBP,RFB_X
LIM0053,Xccy Swap,E030,E046,9610000,4247000,GBP,NRFB_CROSS
LIM0054,Committed Repo,E042,E011,24927000,-493000,GBP,NRFB_X
LIM0055,Xccy Swap,E003,E048,88264000,19832000,GBP,NRFB_CROSS
LIM0056,Bond Borrow,E045,E018,7665000,4088000,GBP,NRFB_X
