record_id,limit_type,limit_sub_type,product,creditor_entity_id,creditor_name,creditor_level,debtor_entity_id,debtor_name,debtor_level,limit_gbp,exposure_gbp,currency,crr_reg_treatment
LIM0001,Hard,Traded,Committed Repo,E021,Verus Co,5,E016,Settle Co,4,499000,-20000,GBP,Retail Co_CORE
LIM0002,Hard,Traded,Bond Borrow,E003,Wealth Co,1,E047,Bond Co,4,143176000,63907000,GBP,NRFB_CROSS
LIM0003,Hard,Lending,Overdraft,E056,Agency Co,4,E033,REIT Co,4,7292000,3690000,GBP,NRFB_CROSS
LIM0004,Soft,Settlement,Payment Intraday,E046,Pens Co,4,E050,Aqua Co,6,4034000,2496000,GBP,Trust Co_NRFB
LIM0005,Soft,Settlement,Payment Intraday,E005,Retail Co,2,E043,Endow Co,3,47519000,-4773000,GBP,RFB_X
LIM0006,Hard,Traded,FX Forward,E041,Plan Co,3,E044,Invest Co,4,14602000,4135000,GBP,Trust Co_NRFB
LIM0007,Hard,Traded,Committed Repo,E011,Trade Co,3,E001,Bank Co,1,11513000,10589000,GBP,RFB_INTERNAL
LIM0008,Hard,Traded,Committed Repo,E002,Property Co,1,E034,Vita Co,5,128992000,125387000,GBP,NRFB_CROSS
LIM0009,Soft,Settlement,Payment Intraday,E054,Securities Co,3,E014,Card Co,4,13810000,12565000,GBP,NRFB_X
LIM0010,Hard,Traded,Committed Repo,E006,Corp Co,2,E034,Vita Co,5,7780000,-1338000,GBP,RFB_X
LIM0011,Hard,Traded,FX Forward,E025,Dev Co,3,E052,Deriv Co,2,28164000,15727000,GBP,NRFB_CROSS
LIM0012,Hard,Lending,Overdraft,E005,Retail Co,2,E040,Fisc Co,3,29727000,12726000,GBP,RFB_X
LIM0013,Hard,Traded,FX Forward,E007,Fin Co,2,E050,Aqua Co,6,53033000,17584000,GBP,RFB_X
LIM0014,Hard,Traded,Committed Repo,E029,Build Co,3,E052,Deriv Co,2,11260000,7139000,GBP,NRFB_CROSS
LIM0015,Soft,Settlement,Payment Intraday,E054,Securities Co,3,E012,Credit Co,3,21833000,16041000,GBP,NRFB_X
LIM0016,Hard,Traded,FX Forward,E005,Retail Co,2,E059,Aura Co,5,12236000,-338000,GBP,RFB_X
LIM0017,Hard,Traded,Committed Repo,E006,Corp Co,2,E015,Repo Co,4,74310000,63648000,GBP,RFB_INTERNAL
LIM0018,Hard,Traded,Committed Repo,E014,Card Co,4,E033,REIT Co,4,8500000,-504000,GBP,RFB_X
LIM0019,Hard,Traded,FX Forward,E048,Vigor Co,5,E015,Repo Co,4,1027000,-192000,GBP,NRFB_X
LIM0020,Hard,Lending,Overdraft,E049,Visus Co,5,E023,Resi Co,2,828000,652000,GBP,NRFB_CROSS
LIM0021,Hard,Lending,Committed Loan,E020,Virtus Co,5,E028,Land Co,3,1092000,19000,GBP,RFB_X
LIM0022,Soft,Settlement,Payment Intraday,E001,Bank Co,1,E026,Lease Co,3,91744000,30530000,GBP,RFB_X
LIM0023,Hard,Traded,Xccy Swap,E013,Issuer Co,3,E043,Endow Co,3,21879000,-1599000,GBP,RFB_X
LIM0024,Soft,Settlement,Payment Intraday,E039,Fund Co,3,E022,Victor Co,6,24469000,14905000,GBP,NRFB_X
LIM0025,Soft,Settlement,Payment Intraday,E010,FX Co,3,E021,Verus Co,5,28814000,24752000,GBP,Retail Co_CORE
