episode,agent,score,rl_reward,distance,survival_steps,pellets_left
1,Untrained,30,-983,4,12,256
2,Untrained,40,-972,10,11,255
3,Untrained,180,-967,86,146,241
4,Untrained,30,-985,6,14,256
5,Untrained,70,-956,15,25,252
6,Untrained,20,-993,6,12,257
7,Untrained,60,-949,6,8,253
8,Untrained,40,-970,6,9,255
9,Untrained,40,-970,6,9,255
10,Untrained,50,-959,6,8,254
11,Untrained,100,-989,49,88,249
12,Untrained,30,-985,8,14,256
13,Untrained,50,-966,6,15,254
14,Untrained,30,-982,8,11,256
15,Untrained,20,-993,6,12,257
16,Untrained,50,-969,10,18,254
17,Untrained,50,-965,12,14,254
18,Untrained,60,-954,8,13,253
19,Untrained,50,-969,10,18,254
20,Untrained,50,-963,6,12,254
21,Untrained,30,-982,4,11,256
22,Untrained,40,-972,12,11,255
23,Untrained,20,-992,2,11,257
24,Untrained,50,-971,12,20,254
25,Untrained,50,-968,10,17,254
26,Untrained,50,-960,8,9,254
27,Untrained,50,-966,8,15,254
28,Untrained,30,-982,6,11,256
29,Untrained,60,-954,10,13,253
30,Untrained,40,-973,8,12,255
31,Untrained,20,-992,8,11,257
32,Untrained,10,-1001,2,10,258
33,Untrained,30,-981,6,10,256
34,Untrained,30,-985,8,14,256
35,Untrained,40,-973,4,12,255
36,Untrained,10,-1001,4,10,258
37,Untrained,130,-953,52,82,246
38,Untrained,40,-971,6,10,255
39,Untrained,30,-981,6,10,256
40,Untrained,30,-987,8,16,256
41,Untrained,20,-991,6,10,257
42,Untrained,150,-920,42,69,244
43,Untrained,40,-971,4,10,255
44,Untrained,60,-966,12,25,253
45,Untrained,40,-971,6,10,255
46,Untrained,30,-982,6,11,256
47,Untrained,20,-990,4,9,257
48,Untrained,30,-984,8,13,256
49,Untrained,30,-983,6,12,256
50,Untrained,90,-980,39,69,250
1,Trained,950,650,241,300,172
2,Trained,1010,710,215,300,166
3,Trained,1010,-227,119,236,166
4,Trained,970,670,145,300,170
5,Trained,960,660,124,300,171
6,Trained,1000,700,176,300,167
7,Trained,960,660,120,300,171
8,Trained,910,610,123,300,176
9,Trained,960,660,128,300,171
10,Trained,960,660,147,300,171
11,Trained,910,610,87,300,176
12,Trained,950,650,119,300,172
13,Trained,950,650,149,300,172
14,Trained,940,640,135,300,173
15,Trained,180,-120,23,300,241
16,Trained,950,650,119,300,172
17,Trained,960,660,135,300,171
18,Trained,920,620,100,300,175
19,Trained,960,660,192,300,171
20,Trained,960,660,114,300,171
21,Trained,940,640,133,300,173
22,Trained,50,-973,9,22,254
23,Trained,80,-220,9,300,251
24,Trained,190,-110,23,300,240
25,Trained,910,610,87,300,176
26,Trained,960,660,138,300,171
27,Trained,70,-230,14,300,252
28,Trained,920,620,105,300,175
29,Trained,960,660,153,300,171
30,Trained,280,-20,106,300,231
31,Trained,80,-220,11,300,251
32,Trained,960,660,126,300,171
33,Trained,960,660,125,300,171
34,Trained,960,660,130,300,171
35,Trained,1060,760,125,300,161
36,Trained,910,610,107,300,176
37,Trained,940,640,253,300,173
38,Trained,960,660,111,300,171
39,Trained,70,-230,13,300,252
40,Trained,940,640,230,300,173
41,Trained,60,-961,9,20,253
42,Trained,60,-240,13,300,253
43,Trained,1030,730,121,300,164
44,Trained,960,660,145,300,171
45,Trained,950,650,132,300,172
46,Trained,960,660,120,300,171
47,Trained,950,650,221,300,172
48,Trained,50,-250,13,300,254
49,Trained,960,-200,143,159,171
50,Trained,960,660,117,300,171
